classificacao_id,busca_id,termo,modelo_ia,doc_id,ano,edicao,pagina,classificacao,tipo_ato,justificativa,com_contexto,paginas_contexto,tokens_input,tokens_output,created_at,resposta_crua
1,1,Formação profissional,gpt-5.4-mini,1,1968,4459,2,super_relevante,Lei,"A página-alvo contém lei que cria o Instituto de Ciências Humanas e Letras de Três Lagoas e prevê formação profissional superior, com organização de cursos e estrutura institucional.",True,"1,2",3667,61,2026-06-16T04:53:55.991382+00:00,"{""classificacao"":""super_relevante"",""tipo_ato"":""Lei"",""justificativa"":""A página-alvo contém lei que cria o Instituto de Ciências Humanas e Letras de Três Lagoas e prevê formação profissional superior, com organização de cursos e estrutura institucional.""}"
2,1,Formação profissional,gpt-5.4-mini,2,1968,4414,7,relevante,Lei,"O texto trata da criação/estrutura de um Instituto Superior de Pedagogia com oferta de formação profissional superior e cursos de graduação/terciários, incluindo organização acadêmica e cursos da Faculdade de Educação.",False,7,2496,72,2026-06-16T04:54:08.734335+00:00,"{""classificacao"":""relevante"",""tipo_ato"":""Lei"",""justificativa"":""O texto trata da criação/estrutura de um Instituto Superior de Pedagogia com oferta de formação profissional superior e cursos de graduação/terciários, incluindo organização acadêmica e cursos da Faculdade de Educação.""}"
3,1,Formação profissional,gpt-5.4-mini,3,1968,4293,6,relevante,Outro - Trecho de lei sobre ensino técnico e formação profissional,"O texto trata do ensino técnico de grau médio, cursos industriais, agrícolas e comerciais, aprendizagem e educação técnica, com regras de funcionamento e diplomas.",False,6,2904,72,2026-06-16T04:54:26.973788+00:00,"{""classificacao"":""relevante"",""tipo_ato"":""Outro - Trecho de lei sobre ensino técnico e formação profissional"",""justificativa"":""O texto trata do ensino técnico de grau médio, cursos industriais, agrícolas e comerciais, aprendizagem e educação técnica, com regras de funcionamento e diplomas.""}"
4,1,Formação profissional,gpt-5.4-mini,4,1970,4845,7,relevante,Outro - Estatutos,"Os estatutos do Centro Social Coração de Maria preveem cursos de formação doméstica e profissional, incluindo corte e costura, arte culinária e noções de enfermagem.",False,7,3179,65,2026-06-16T04:54:41.391993+00:00,"{""classificacao"":""relevante"",""tipo_ato"":""Outro - Estatutos"",""justificativa"":""Os estatutos do Centro Social Coração de Maria preveem cursos de formação doméstica e profissional, incluindo corte e costura, arte culinária e noções de enfermagem.""}"
5,1,Formação profissional,gpt-5.4-mini,5,1970,4793,3,duvidoso,Outro - Texto truncado/ilegivel,"O trecho menciona 'formação profissional' e 'Faculdades', mas está muito corrompido e não permite identificar com segurança um ato específico sobre educação profissional/técnica.",False,3,1645,75,2026-06-16T04:54:57.032812+00:00,"{""classificacao"":""duvidoso"",""tipo_ato"":""Outro - Texto truncado/ilegivel"",""justificativa"":""O trecho menciona 'formação profissional' e 'Faculdades', mas está muito corrompido e não permite identificar com segurança um ato específico sobre educação profissional/técnica.""}"
6,1,Formação profissional,gpt-5.4-mini,6,1972,5435,12,relevante,Outro - Estatuto,"O texto do Estatuto menciona expressamente que o instituto mantém 'Curso de Formacao Profissional', indicando oferta de educacao profissional, embora o ato principal seja estatutario e nao de autorizacao de curso.",False,12,6418,72,2026-06-16T04:55:09.436330+00:00,"{""classificacao"":""relevante"",""tipo_ato"":""Outro - Estatuto"",""justificativa"":""O texto do Estatuto menciona expressamente que o instituto mantém 'Curso de Formacao Profissional', indicando oferta de educacao profissional, embora o ato principal seja estatutario e nao de autorizacao de curso.""}"
7,1,Formação profissional,gpt-5.4-mini,7,1973,5533,1,super_relevante,Decreto,Decreto cria o Centro de Formacao e Aperfeicoamento da Policia Militar e define finalidade de formacao basica e tecnico-profissional.,False,1,2506,63,2026-06-16T04:55:18.974467+00:00,"{""classificacao"":""super_relevante"",""tipo_ato"":""Decreto"",""justificativa"":""Decreto cria o Centro de Formacao e Aperfeicoamento da Policia Militar e define finalidade de formacao basica e tecnico-profissional.""}"
8,1,Formação profissional,gpt-5.4-mini,8,1974,5931,10,irrelevante,Outro - Estatuto do magisterio,"O texto trata de direitos do magistério, aposentadoria e bolsa para curso de formação de professores, sem criar, autorizar ou regulamentar curso técnico/profissionalizante ou instituição de educação profissional.",False,10,2840,79,2026-06-16T04:55:53.161416+00:00,"{""classificacao"":""irrelevante"",""tipo_ato"":""Outro - Estatuto do magisterio"",""justificativa"":""O texto trata de direitos do magistério, aposentadoria e bolsa para curso de formação de professores, sem criar, autorizar ou regulamentar curso técnico/profissionalizante ou instituição de educação profissional.""}"
9,1,Formação profissional,gpt-5.4-mini,9,1975,6168,8,super_relevante,Lei,"O texto da página-alvo traz a criação da ESCOLA MELVIN JONES DE PROFISSIONALIZAÇÃO DO MENOR, com finalidade de ensino gratuito e profissionalizante; trata diretamente de instituição de educação profissional.",False,8,2982,69,2026-06-16T04:56:13.129991+00:00,"{""classificacao"":""super_relevante"",""tipo_ato"":""Lei"",""justificativa"":""O texto da página-alvo traz a criação da ESCOLA MELVIN JONES DE PROFISSIONALIZAÇÃO DO MENOR, com finalidade de ensino gratuito e profissionalizante; trata diretamente de instituição de educação profissional.""}"
10,1,Formação profissional,gpt-5.4-mini,10,1976,6322,16,irrelevante,Outro - Convenio administrativo,"O texto trata de convênio para complementação salarial e apoio ao Ensino Supletivo, sem criar, autorizar, reconhecer ou regulamentar curso/instituição de educação profissional ou técnica.",False,16,2725,67,2026-06-16T04:56:23.662659+00:00,"{""classificacao"":""irrelevante"",""tipo_ato"":""Outro - Convenio administrativo"",""justificativa"":""O texto trata de convênio para complementação salarial e apoio ao Ensino Supletivo, sem criar, autorizar, reconhecer ou regulamentar curso/instituição de educação profissional ou técnica.""}"
