doc_id,ano,edicao_id,pagina,modelo,job_id,gabarito_bin,modelo_classe,modelo_bin,acertou_bin
7,1973,5533,1,gpt-oss:20b,8,relevante,super_relevante,relevante,1
13,1977,6625,15,gpt-oss:20b,8,relevante,relevante,relevante,1
5,1970,4793,3,gpt-oss:20b,8,relevante,relevante,relevante,1
11,1977,6631,2,gpt-oss:20b,8,nao_relevante,super_relevante,relevante,0
8,1974,5931,10,gpt-oss:20b,8,relevante,relevante,relevante,1
6,1972,5435,12,gpt-oss:20b,8,relevante,duvidoso,nao_relevante,0
4,1970,4845,7,gpt-oss:20b,8,relevante,relevante,relevante,1
3,1968,4293,6,gpt-oss:20b,8,relevante,relevante,relevante,1
2,1968,4414,7,gpt-oss:20b,8,relevante,super_relevante,relevante,1
10,1976,6322,16,gpt-oss:20b,8,nao_relevante,irrelevante,nao_relevante,1
15,1977,6549,26,gpt-oss:20b,8,relevante,relevante,relevante,1
16,1978,6891,29,gpt-oss:20b,8,relevante,relevante,relevante,1
14,1977,6590,23,gpt-oss:20b,8,nao_relevante,irrelevante,nao_relevante,1
18,1978,6787,10,gpt-oss:20b,8,relevante,relevante,relevante,1
19,1979,7135,2,gpt-oss:20b,8,relevante,duvidoso,nao_relevante,0
21,1979,6951,2,gpt-oss:20b,8,relevante,relevante,relevante,1
25,1985,8640,1,gpt-oss:20b,8,relevante,super_relevante,relevante,1
17,1978,6822,2,gpt-oss:20b,8,nao_relevante,irrelevante,nao_relevante,1
31,1987,9101,3,gpt-oss:20b,8,relevante,duvidoso,nao_relevante,0
20,1979,7125,10,gpt-oss:20b,8,nao_relevante,super_relevante,relevante,0
49,1989,9478,2,gpt-oss:20b,8,relevante,irrelevante,nao_relevante,0
22,1980,7242,1,gpt-oss:20b,8,relevante,relevante,relevante,1
51,1990,10099,46,gpt-oss:20b,8,relevante,super_relevante,relevante,1
52,1990,10024,35,gpt-oss:20b,8,nao_relevante,relevante,relevante,0
53,1990,10024,34,gpt-oss:20b,8,relevante,irrelevante,nao_relevante,0
23,1980,7213,2,gpt-oss:20b,8,nao_relevante,irrelevante,nao_relevante,1
56,1991,10270,23,gpt-oss:20b,8,relevante,,,
24,1984,8179,17,gpt-oss:20b,8,nao_relevante,irrelevante,nao_relevante,1
